Taxonomy	Production type	Statistic class	MamA	MamB	MamM	MamO	MamE	MamN	MamK	MamH
veillonella dispar dora_11	A	DZ	-	3.1877e-05 (37%)  Cation diffusion facilitator family transporter 	1.3297e-11 (51%)  hypothetical protein Q619_VDC00604G0002 	0.00069829 (43%)  Peptidase S1 and S6 chymotrypsin/Hap 	8.21405e-31 (86%)  Peptidase S1 and S6 chymotrypsin/Hap 	0.0444362 (42%)  Transporter, divalent anion:Na+ symporter (DASS) family protein 	7.91207e-09 (83%)  Cell shape determining protein MreB/Mrl 	-	
ruminococcus albus sy3	A	DZ	-	1.74216e-16 (57%)  cation diffusion facilitator family transporter 	1.06648e-30 (77%)  cation diffusion facilitator family transporter 	0.000224939 (41%)  peptidase S1 	1.45795e-32 (77%)  peptidase S1 	6.16728e-24 (98%)  citrate transporter 	-	-	
aggregatibacter actinomycetemcomitans serotype e str. anh9776	A	DZ	-	1.07384e-06 (39%)  cobalt-zinc-cadmium resistance protein, partial 	4.64874e-05 (41%)  cobalt-zinc-cadmium resistance protein, partial 	0.000379044 (46%)  peptidase, partial 	4.1972e-25 (68%)  peptidase, partial 	0.0043458 (71%)  transporter 	2.04928e-05 (76%)  rod shape-determining protein Mbl 	-	
campylobacter iguaniorum	A	H	-	1.8212e-15 (61%)  cation diffusion facilitator family transporter 	5.05338e-08 (54%)  cation diffusion facilitator family transporter 	1.1144e-08 (42%)  periplasmic heat shock serine protease HtrA, Do family 	8.53438e-06 (42%)  periplasmic heat shock serine protease HtrA, Do family 	-	-	-	
acinetobacter calcoaceticus	CC	DZ	0.00280976 (27%)  pilus assembly protein PilW 	0.00324849 (57%)  cation transporter 	1.65425e-05 (40%)  cation transporter 	0.000103897 (33%)  permease 	3.56129e-26 (72%)  HtrA-like serine protease 	-	0.000367634 (56%)  rod shape-determining protein 	-	
actinomyces slackii	A	H	-	8.49467e-17 (58%)  transporter 	1.56859e-13 (73%)  transporter 	1.55536e-06 (44%)  hypothetical protein 	3.48338e-24 (70%)  hypothetical protein 	-	-	-	
bacteroides sp. cag:462	A	H	-	8.9327e-42 (84%)  cation diffusion facilitator family transporter 	5.17628e-28 (85%)  cation diffusion facilitator family transporter 	4.34895e-13 (51%)  serine protease 	4.60252e-33 (84%)  serine protease 	-	2.77775e-06 (88%)  cell shape determining protein MreB/Mrl family 	-	
mycoplasma sp. cag:776	A	DZ	-	2.09188e-08 (53%)  cation diffusion facilitator family transporter 	1.26419e-25 (72%)  cation diffusion facilitator family transporter 	0.000259136 (45%)  trypsin 	3.40345e-21 (72%)  trypsin 	-	-	-	
micrococcus terreus	A	DZ	-	0.00141634 (36%)  Divalent metal cation (Fe/Co/Zn/Cd) transporter 	0.023438 (51%)  Divalent metal cation (Fe/Co/Zn/Cd) transporter 	0.00105555 (58%)  putative serine protease PepD 	9.45809e-07 (49%)  Colicin V production protein 	-	-	-	
plesiomonas shigelloides	A	DZ	-	0.0161797 (38%)  Probable cation-transporting ATPase F 	0.000134081 (52%)  hypothetical protein 	0.000654531 (62%)  Sulfite exporter TauE/SafE 	1.15062e-23 (69%)  outer membrane-stress sensor serine endopeptidase DegS 	-	2.08719e-05 (78%)  Rod shape-determining protein MreB 	-	
enterococcus faecalis t11	A	DZ	-	1.73617e-15 (65%)  cation efflux family protein 	8.54682e-19 (54%)  cation efflux family protein 	0.0184206 (46%)  peptidase S1 	1.02163e-22 (84%)  peptidase S1 	-	-	-	
ruminococcus albus	A	H	-	1.93605e-16 (57%)  cation diffusion facilitator transporter 	6.60949e-30 (75%)  cation diffusion facilitator family transporter 	8.43231e-05 (39%)  hypothetical protein 	1.67605e-32 (77%)  peptidase S1 	1.06935e-23 (98%)  citrate transporter 	-	-	
peptostreptococcus sp. mv1	A	H	-	1.06339e-17 (50%)  cation diffusion facilitator family transporter 	4.71574e-14 (41%)  cation diffusion facilitator family transporter 	1.27785e-07 (48%)  protease 	1.01639e-29 (76%)  protease 	-	0.0411067 (45%)  molecular chaperone DnaK 	-	
micrococcus luteus	A	DZ	-	2.95073e-05 (49%)  cation diffusion facilitator family transporter 	0.0157562 (26%)  cation transporter 	0.0414848 (63%)  Trypsin 	2.08778e-09 (41%)  hypothetical protein GY12_01030 	-	-	0.0387129 (45%)  hypothetical protein 	
acinetobacter calcoaceticus dsm 30006 = cip 81.8	A	DZ	-	0.000238126 (58%)  hypothetical protein F936_00981 	1.58824e-06 (37%)  hypothetical protein F936_00205 	3.71987e-05 (34%)  hypothetical protein F936_02155 	0.016814 (39%)  periplasmic serine peptidase DegS 	-	1.92401e-05 (69%)  hypothetical protein F936_03583 	-	
campylobacter concisus unswcd	A	DZ	-	5.53936e-16 (63%)  Cobalt-zinc-cadmium resistance protein 	1.82521e-11 (58%)  Cobalt-zinc-cadmium resistance protein 	1.88169e-08 (43%)  HtrA protease/chaperone protein / Serine protease 	0.00882211 (45%)  HtrA protease/chaperone protein / Serine protease 	0.00013673 (69%)  Na+/H+ antiporter NhaD type 	-	0.00448893 (38%)  Putative efflux protein 	
aggregatibacter aphrophilus nj8700	A	DZ	-	3.29109e-15 (74%)  ferrous iron transporter 	2.94763e-07 (58%)  ferrous iron transporter 	0.000153066 (52%)  peptidase 	2.11236e-24 (66%)  peptidase 	0.0115681 (37%)  transporter 	0.0469627 (57%)  chaperone protein HscA 	-	
actinomyces sp. oral taxon 175 str. f0384	C	DZ	0.00507145 (57%)  PPR repeat protein 	8.77832e-11 (66%)  cation diffusion facilitator family transporter 	7.05808e-09 (69%)  cation diffusion facilitator family transporter 	7.35316e-06 (47%)  trypsin 	1.48624e-23 (71%)  trypsin 	-	-	0.0164052 (51%)  transporter, major facilitator family protein 	
providencia burhodogranariea dsm 19968	A	DZ	-	2.38697e-33 (83%)  cation efflux protein 	5.44054e-25 (76%)  cation efflux protein 	0.0231528 (39%)  protease precursor DegQ 	3.77656e-22 (65%)  serine endoprotease 	5.50047e-12 (90%)  transporter 	9.08466e-05 (71%)  rod shape-determining protein MreB 	-	
alcaligenes faecalis subsp. phenolicus	CC	H	6.38187e-09 (45%)  hypothetical protein BV899_11295 	6.55804e-34 (82%)  cation-efflux pump 	2.08871e-29 (78%)  cation-efflux pump 	5.01181e-05 (43%)  anion permease 	1.51573e-31 (81%)  2-alkenal reductase 	-	5.85245e-05 (81%)  rod shape-determining protein 	0.0026719 (88%)  hypothetical protein BV899_10960 	
enterococcus casseliflavus	A	DZ	-	1.94823e-24 (71%)  transporter 	1.64303e-23 (66%)  transporter 	0.0476634 (48%)  serine protease 	9.71368e-25 (73%)  serine protease do-like htrA 	-	-	0.00588489 (77%)  MFS transporter 	
veillonella seminalis acs-216-v-col6b	A	H	-	1.61179e-20 (70%)  cation diffusion facilitator family transporter 	2.41997e-21 (70%)  cation diffusion facilitator family transporter 	2.04069e-07 (52%)  hypothetical protein HMPREF9282_00272 	1.33866e-31 (80%)  hypothetical protein HMPREF9282_00272 	0.00047422 (79%)  divalent anion:Na+ symporter (DASS) family transporter 	5.38211e-10 (87%)  MreB/Mrl family cell shape determining protein 	0.0371002 (42%)  hypothetical protein HMPREF9282_01093 	
yersinia enterocolitica subsp. palearctica	A	H	-	1.39517e-06 (66%)  zinc transporter ZitB 	4.03944e-05 (45%)  zinc transporter ZitB 	4.77933e-07 (44%)  serine endoprotease DegQ 	7.9061e-22 (70%)  outer membrane-stress sensor serine endopeptidase DegS 	-	-	3.9081e-05 (39%)  hypothetical protein A8L35_09740 	
campylobacter fetus subsp. fetus	A	H	-	4.36309e-17 (57%)  pantothenate metabolism flavoprotein 	5.07397e-07 (55%)  pantothenate metabolism flavoprotein 	3.19564e-09 (44%)  peptidase S1C%2C Do 	1.39938e-08 (52%)  peptidase S1C%2C Do 	0.000571745 (34%)  anion transporter 	-	-	
enterobacter cloacae subsp. cloacae	A	H	-	1.72623e-33 (83%)  cobalt transporter 	1.12288e-14 (72%)  cation-efflux pump FieF 	1.71078e-10 (50%)  serine endoprotease DegQ 	3.58371e-09 (60%)  serine endoprotease DegQ 	-	-	-	
campylobacter hyointestinalis subsp. lawsonii	A	H	-	4.12062e-20 (63%)  cation diffusion facilitator family transporter 	4.90288e-08 (55%)  cation diffusion facilitator family transporter 	1.77897e-09 (44%)  periplasmic heat shock serine protease HtrA, Do family 	1.11754e-07 (51%)  periplasmic heat shock serine protease HtrA, Do family 	-	-	-	
campylobacter sputorum	CC	DZ	4.36214e-05 (30%)  periplasmic protein 	3.30802e-15 (54%)  cation transporter 	0.000206474 (48%)  cation transporter 	5.14743e-12 (47%)  serine protease 	8.1676e-06 (40%)  serine protease 	-	5.46171e-11 (89%)  rod shape-determining protein 	-	
enterobacter cloacae	A	DZ	-	4.8821e-17 (66%)  divalent metal cation transporter FieF 	2.3947e-13 (68%)  cation-efflux pump fieF 	2.18064e-10 (50%)  serine endoprotease 	0.00104096 (60%)  serine endoprotease 	0.0360016 (31%)  citrate transporter 	-	0.000161791 (40%)  MFS transporter 	
aeromonas popoffii	C	DZ	4.34575e-07 (34%)  type IV pilus biogenesis/stability protein PilW 	1.21037e-27 (74%)  cation transporter 	7.82417e-21 (70%)  cation transporter 	5.06411e-06 (56%)  serine endoprotease DegQ 	0.00023254 (58%)  serine endoprotease DegQ 	1.20604e-05 (50%)  anion transporter 	-	-	
actinomyces naeslundii	C	DZ	0.0294187 (52%)  hypothetical protein AN27039_1862 	0.00181368 (44%)  cobalt-zinc-cadmium resistance protein CzcD 	4.38051e-08 (62%)  cation-efflux pump 	2.61106e-05 (46%)  trypsin 	8.34182e-23 (69%)  trypsin 	-	-	0.0249286 (40%)  MFS transporter 	
aggregatibacter actinomycetemcomitans rhaa1	A	DZ	-	7.99476e-15 (69%)  ferrous iron transporter 	1.96802e-07 (43%)  ferrous iron transporter 	0.000802875 (49%)  peptidase 	1.39975e-24 (68%)  peptidase 	0.0056369 (71%)  CitT protein 	-	-	
treponema denticola us-trep	C	DZ	0.00281555 (36%)  hypothetical protein HMPREF9728_01134 	1.06175e-20 (67%)  cation diffusion facilitator family transporter 	7.8601e-21 (67%)  cation diffusion facilitator family transporter 	3.28453e-06 (41%)  hypothetical protein HMPREF9728_01314 	0.000656049 (49%)  hypothetical protein HMPREF9728_01314 	-	-	-	
[clostridium	C	H	2.35124e-07 (45%)  tetratricopeptide protein  straminisolvens JCM 21531]	6.26755e-40 (82%)  cation diffusion facilitator transporter  clostridioforme]	2.16374e-36 (87%)  hypothetical protein HMPREF9472_01621  bolteae WAL-14578]	6.42894e-11 (46%)  HtrA2 peptidase  ultunense Esp]	3.61894e-32 (83%)  protease, partial  sordellii 8483]	4.89261e-48 (114%)  citrate transporter  hiranonis DSM 13275]	-	0.0257655 (49%)  MFS transporter  aerotolerans]	
aggregatibacter actinomycetemcomitans	A	DZ	-	0.0092559 (38%)  iron transporter 	3.99542e-08 (62%)  ferrous iron transporter 	0.000729118 (51%)  peptidase 	4.94528e-24 (68%)  peptidase 	0.0114155 (36%)  hypothetical protein BBH51_01635 	8.10284e-06 (77%)  rod shape-determining protein 	-	
treponema denticola sp32	C	DZ	0.00550189 (35%)  hypothetical protein HMPREF9732_01426 	7.0548e-23 (69%)  cation diffusion facilitator family transporter 	2.84894e-20 (67%)  cation diffusion facilitator family transporter 	4.39514e-05 (40%)  hypothetical protein HMPREF9732_02379 	0.00708032 (47%)  hypothetical protein HMPREF9732_02379 	-	-	-	
providencia rettgeri dsm 1131	A	DZ	-	6.19179e-34 (85%)  cation diffusion facilitator family transporter 	1.00769e-19 (68%)  cation diffusion facilitator family transporter 	0.00223697 (40%)  peptidase Do 	7.38556e-22 (64%)  periplasmic serine peptidase DegS 	4.14264e-10 (90%)  citrate transporter 	0.00347094 (56%)  Fe-S protein assembly chaperone HscA 	-	
neisseria sicca vk64	A	DZ	-	2.36315e-11 (63%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0182074 (26%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0181921 (69%)  sulfite exporter TauE/SafE 	0.00373787 (27%)  RIP metalloprotease RseP 	-	0.000708766 (81%)  Fe-S protein assembly chaperone HscA 	-	
aggregatibacter actinomycetemcomitans serotype f str. d18p1	A	H	-	3.0692e-14 (70%)  ferrous iron transporter 	1.10924e-07 (61%)  ferrous iron transporter 	6.40391e-12 (46%)  serine peptidase 	9.86751e-07 (53%)  serine peptidase 	0.046001 (77%)  transporter 	-	-	
acinetobacter calcoaceticus anc 3811	CC	DZ	0.00319601 (27%)  type IV pilus biogenesis/stability protein PilW 	4.84659e-05 (59%)  hypothetical protein F935_03095 	1.2505e-06 (39%)  hypothetical protein F935_03371 	6.80493e-05 (34%)  hypothetical protein F935_01321 	0.0188187 (39%)  periplasmic serine peptidase DegS 	-	2.40536e-05 (69%)  hypothetical protein F935_00095 	-	
ruminococcus sp. marseille-p2780	A	H	-	3.93587e-25 (68%)  cation-efflux pump 	7.40302e-32 (95%)  cation-efflux pump 	3.19665e-06 (53%)  hypothetical protein 	3.61244e-31 (80%)  hypothetical protein 	-	5.43011e-13 (88%)  rod shape-determining protein 	-	
enterococcus faecalis ki-6-1-110608-1	A	DZ	-	1.26853e-15 (65%)  cation diffusion facilitator family transporter 	8.66846e-19 (54%)  cation diffusion facilitator family transporter 	0.0167599 (46%)  serine protease do-like HtrA 	1.4078e-22 (84%)  serine protease do-like HtrA 	-	-	-	
peptococcus niger	A	H	-	1.06949e-35 (78%)  cation diffusion facilitator family transporter 	7.44315e-29 (82%)  cation diffusion facilitator family transporter 	2.61334e-05 (51%)  serine protease Do 	3.38361e-30 (80%)  serine protease Do 	-	-	-	
veillonella sp. 6_1_27	A	DZ	-	1.28935e-15 (56%)  cation diffusion facilitator family transporter 	2.57433e-12 (43%)  cation diffusion facilitator family transporter 	0.000409834 (45%)  trypsin 	1.06949e-30 (85%)  trypsin 	1.09423e-05 (96%)  transporter, DASS family 	0.00048001 (72%)  putative rod shape-determining protein MreB 	-	
eubacterium sp. 68-3-10	A	H	-	1.58583e-33 (65%)  cation diffusion facilitator family transporter 	3.37103e-34 (79%)  cation diffusion facilitator family transporter 	1.51353e-06 (46%)  hypothetical protein BHK98_09415 	4.63967e-26 (82%)  hypothetical protein BHK98_09415 	4.12533e-38 (102%)  hypothetical protein BHK98_03460 	-	-	
wolinella succinogenes	CC	DZ	0.000117659 (30%)  conserved hypothetical protein 	6.45395e-21 (65%)  TRANSMEMBRANE TRANSPORT PROTEIN-Predicted Co/Zn/Cd cation transport 	6.69625e-18 (69%)  TRANSMEMBRANE TRANSPORT PROTEIN-Predicted Co/Zn/Cd cation transport 	4.22619e-11 (46%)  PROTEASE DO 	9.95586e-07 (51%)  PROTEASE DO 	0.00878244 (27%)  TRANSPORTER, NADC FAMILY 	0.0169608 (51%)  HEAT SHOCK PROTEIN, DNAK 	-	
leptotrichia buccalis c-1013-b	CC	DZ	1.49124e-06 (36%)  Tetratricopeptide TPR_2 repeat protein 	0.027692 (28%)  glycogen/starch synthase, ADP-glucose type 	4.25258e-05 (32%)  cation diffusion facilitator family transporter 	7.84477e-13 (44%)  2-alkenal reductase 	2.54283e-07 (30%)  2-alkenal reductase 	-	0.0242024 (46%)  chaperone protein DnaK 	-	
aeromonas salmonicida subsp. salmonicida	A	H	-	1.44429e-28 (74%)  cation transporter 	2.32562e-23 (75%)  cation transporter 	9.80766e-06 (55%)  serine endoprotease DegQ 	2.53565e-09 (60%)  serine endoprotease DegQ 	-	-	0.000507221 (106%)  tetracycline efflux MFS transporter Tet(C) 	
aggregatibacter actinomycetemcomitans serotype d str. sa508	A	DZ	-	3.18907e-12 (61%)  iron transporter, partial 	5.18219e-07 (48%)  iron transporter, partial 	0.0171257 (43%)  peptidase 	3.49314e-21 (62%)  peptidase 	-	-	-	
veillonella sp. cag:933	A	H	-	1.65082e-17 (67%)  cation diffusion facilitator family transporter 	4.71001e-19 (62%)  cation diffusion facilitator family transporter 	4.041e-08 (52%)  trypsin 	1.86094e-31 (82%)  trypsin 	0.000417515 (95%)  putative cation transporter 	2.33987e-10 (87%)  cell division protein FtsA 	0.00331813 (45%)  major facilitator superfamily MFS_1 	
acinetobacter calcoaceticus niph 13	A	H	-	2.32043e-07 (36%)  hypothetical protein F997_00542 	3.82024e-06 (37%)  hypothetical protein F997_00542 	3.92673e-05 (34%)  hypothetical protein F997_02644 	4.38466e-12 (57%)  hypothetical protein F997_03538 	-	3.39663e-06 (83%)  Fe-S protein assembly chaperone HscA 	-	
aggregatibacter actinomycetemcomitans serotype f str. sc29r	A	H	-	7.12211e-15 (71%)  iron transporter 	3.2092e-08 (62%)  iron transporter 	1.41118e-12 (47%)  serine peptidase 	1.02155e-06 (53%)  serine peptidase 	0.0091132 (78%)  transporter 	-	-	
 [[eubacterium	A	H	-	7.35692e-33 (73%)  cation diffusion facilitator family transporter  cellulosolvens 6]	6.09827e-18 (71%)  cation diffusion facilitator family transporter  dolichum DSM 3991]	1.45716e-05 (55%)  trypsin  dolichum DSM 3991]	8.26151e-28 (78%)  trypsin  dolichum DSM 3991]	5.67018e-16 (89%)  Na+/H+ antiporter NhaD-like permease  cellulosolvens 6]	1.9893e-10 (79%)  cell shape determining protein, MreB/Mrl family  siraeum DSM 15702]	-	
providencia rettgeri dmel1	A	DZ	-	1.66537e-32 (83%)  cation efflux protein 	2.57257e-22 (70%)  cation efflux protein 	0.003096 (40%)  serine endoprotease 	2.35724e-22 (64%)  serine endoprotease 	-	0.0029916 (55%)  chaperone protein HscA 	-	
candidatus providencia siddallii	A	DZ	-	2.20889e-28 (70%)  Putative ferrous-iron efflux pump FieF 	1.54445e-18 (65%)  Putative ferrous-iron efflux pump FieF 	0.00115652 (42%)  Periplasmic pH-dependent serine endoprotease DegQ 	2.80936e-11 (63%)  Periplasmic pH-dependent serine endoprotease DegQ 	-	0.000609734 (70%)  Rod shape-determining protein MreB 	-	
ruminococcus albus 7 = dsm 20455	A	DZ	-	2.56556e-17 (55%)  cation diffusion facilitator family transporter 	1.49641e-27 (71%)  cation diffusion facilitator family transporter 	0.000186295 (45%)  peptidase S1 and S6 chymotrypsin/Hap 	7.4807e-33 (77%)  peptidase S1 and S6 chymotrypsin/Hap 	9.32238e-09 (67%)  Citrate transporter (plasmid) 	-	-	
enterococcus faecalis	A	DZ	-	5.15982e-14 (65%)  cation transporter 	1.55758e-17 (53%)  cation transporter 	0.0260566 (46%)  serine protease 	1.75138e-22 (83%)  serine protease 	-	-	0.0302452 (36%)  multidrug resistance pump 	
aeromonas hydrophila	C	H	8.34951e-05 (32%)  pilus assembly protein PilW 	1.98953e-27 (75%)  cation transporter 	1.76677e-22 (75%)  cation transporter 	5.73423e-06 (50%)  outer membrane-stress sensor serine endopeptidase DegS 	6.23059e-05 (57%)  hypothetical protein SH16_03028 	5.95112e-05 (42%)  Anion transporter 	-	0.000555101 (38%)  MFS transporter 	
eubacterium limosum	A	H	-	3.51414e-33 (71%)  cation-efflux pump 	1.89373e-30 (79%)  cation diffusion facilitator family transporter 	4.34037e-07 (47%)  serine protease Do 	3.0403e-28 (75%)  serine protease Do 	-	-	-	
alcaligenes faecalis subsp. faecalis nbrc 13111	C	DZ	0.0304358 (33%)  pilus assembly protein 	7.20371e-38 (81%)  cobalt transporter 	1.96236e-31 (78%)  cobalt transporter 	2.94845e-06 (60%)  membrane protein 	0.000696102 (49%)  zinc metalloprotease 	-	-	0.0421729 (42%)  transporter 	
aeromonas veronii	A	H	-	1.64925e-27 (81%)  cation transporter 	3.5485e-19 (78%)  cation transporter 	6.57408e-06 (44%)  serine protease DegQ 	5.27982e-09 (64%)  serine protease DegQ 	5.43793e-05 (51%)  anion transporter 	-	-	
porphyromonas gingivalis	CC	DZ	0.000734733 (38%)  hypothetical protein PGIN_11A_01300 	9.96706e-07 (45%)  putative cation diffusion facilitator family transporter 	2.01825e-26 (80%)  cation transporter 	1.61884e-08 (49%)  deoxyribonuclease HsdR 	8.81972e-34 (80%)  periplasmic serine protease, Do/DeqQ family 	-	4.03768e-07 (89%)  rod shape-determining protein 	-	
staphylococcus fleurettii	A	H	-	2.24479e-26 (72%)  transporter 	1.05471e-31 (74%)  transporter 	5.57458e-08 (66%)  serine protease 	4.02055e-25 (73%)  serine protease 	-	-	-	
aeromonas piscicola	C	DZ	9.30594e-07 (34%)  type IV pilus biogenesis/stability protein PilW 	8.07308e-29 (76%)  cation transporter 	2.05633e-22 (73%)  cation transporter 	8.36413e-06 (50%)  outer membrane-stress sensor serine endopeptidase DegS 	0.000288677 (58%)  serine endoprotease DegQ 	7.64292e-06 (50%)  Anion transporter 	-	-	
campylobacter coli	CC	DZ	0.0254977 (28%)  tetratricopeptide repeat protein, partial 	6.05175e-06 (64%)  cation transporter 	0.0354877 (37%)  cation transporter 	2.87958e-07 (43%)  serine protease 	1.88047e-27 (74%)  Periplasmic serine endoprotease DegP precursor 	-	2.36544e-05 (83%)  rod shape-determining protein MreB 	-	
mycoplasma sp. cag:877	A	DZ	-	6.29967e-24 (67%)  cation diffusion facilitator family transporter 	8.74332e-28 (77%)  cation diffusion facilitator family transporter 	0.0188442 (40%)  trypsin domain protein 	2.57249e-18 (61%)  trypsin domain protein 	-	-	-	
veillonella magna	A	H	-	1.06208e-15 (62%)  cation diffusion facilitator transporter 	5.13229e-14 (60%)  cation diffusion facilitator transporter 	2.60902e-07 (53%)  peptidase S1 	1.13094e-29 (83%)  peptidase S1 	0.00440413 (60%)  cation transporter 	9.73804e-14 (94%)  rod shape-determining protein 	0.00523136 (41%)  MFS transporter 	
actinomyces oris	C	DZ	0.0111587 (51%)  tetratricopeptide repeat protein 	5.1157e-10 (58%)  transporter 	5.00303e-08 (70%)  cation-efflux pump 	1.3087e-05 (47%)  trypsin 	1.24012e-22 (70%)  trypsin 	-	-	0.0461954 (41%)  MFS transporter 	
mycobacterium chelonae	A	DZ	-	0.036796 (50%)  cation transporter 	0.0104742 (29%)  cation transporter 	0.000470362 (30%)  serine protease 	0.00227284 (42%)  serine protease 	-	-	0.00103361 (40%)  MFS transporter 	
campylobacter fetus subsp. testudinum	A	H	-	9.14143e-17 (61%)  cation transporter 	3.2667e-07 (51%)  cation transporter 	1.61581e-09 (46%)  serine protease 	7.95216e-05 (38%)  serine protease 	-	-	-	
enterococcus gallinarum	A	DZ	-	1.49205e-24 (70%)  transporter 	5.87552e-24 (66%)  transporter 	0.0464413 (48%)  serine protease 	2.68314e-25 (73%)  serine protease 	-	-	-	
enterococcus faecalis x98	A	DZ	-	1.90862e-15 (65%)  cation efflux family protein 	7.76286e-19 (54%)  cation efflux family protein 	0.0156229 (46%)  serine protease DO 	1.09932e-22 (84%)  serine protease DO 	-	-	-	
neisseria sicca	A	DZ	-	1.29739e-11 (64%)  cation transporter 	0.0374059 (27%)  cation transporter 	0.00634873 (68%)  hypothetical protein A6J88_07775 	0.0360302 (26%)  RIP metalloprotease RseP 	0.0251952 (34%)  NadC family protein 	0.000897272 (81%)  Fe-S protein assembly chaperone HscA 	-	
aggregatibacter aphrophilus	A	DZ	-	1.37535e-13 (74%)  divalent metal cation transporter FieF 	3.49876e-06 (57%)  divalent metal cation transporter FieF 	0.0468838 (68%)  hypothetical protein BBB51_07105 	1.50851e-24 (67%)  outer membrane-stress sensor serine endopeptidase DegS 	0.0363386 (36%)  hypothetical protein ADJ80_05715 	6.35229e-05 (71%)  rod shape-determining protein 	-	
staphylococcus sciuri	A	H	-	1.95099e-23 (70%)  transporter 	4.83094e-31 (76%)  transporter 	1.54461e-08 (67%)  serine protease 	1.17865e-24 (70%)  serine protease 	0.00955398 (82%)  cation transporter 	-	-	
uncultured ruminococcus sp.	CC	DZ	0.000141821 (34%)  TPR repeat-containing protein yrrB 	2.08021e-16 (57%)  Ferrous-iron efflux pump FieF 	1.33713e-15 (45%)  Ferrous-iron efflux pump FieF 	5.7907e-05 (49%)  Putative serine protease HtrA 	4.47319e-26 (75%)  Serine protease Do-like HtrA 	0.000772419 (52%)  Na(+)/dicarboxylate symporter 	1.05029e-08 (76%)  Rod shape-determining protein MreB 	-	
campylobacter hyointestinalis	A	H	-	4.52064e-24 (62%)  ferrous-iron efflux pump FieF 	5.42189e-09 (54%)  ferrous-iron efflux pump FieF 	3.30934e-09 (44%)  serine protease Do 	2.05199e-08 (51%)  serine protease Do 	-	-	-	
